INFO:run:CONFIGURATION: {
  "nlayers": 1, 
  "clip": 0.5, 
  "emsize": 50, 
  "nhid": 50, 
  "batch_size": 20, 
  "results": "results/20170327-095946-01.txt", 
  "epochs": 6, 
  "logfile": "logs/20170327-095946-01.txt", 
  "seed": 1111, 
  "lr": 20, 
  "log_interval": 20, 
  "experiment_id": "20170327-095946-01", 
  "sequence_length": 20, 
  "model": "GRU", 
  "save": "models/20170327-095946-01.pt", 
  "data": "./data/penn"
}
INFO:run:rng state: 
  87
   4
   0
 ⋮  
   0
   0
   0
[torch.ByteTensor of size 5048]

INFO:run:| epoch   1 |    20/ 2323 batches | lr 20.00 | ms/batch 97.64 | loss  8.19 | ppl  3605.08
INFO:run:| epoch   1 |    40/ 2323 batches | lr 20.00 | ms/batch 92.36 | loss  7.27 | ppl  1436.57
INFO:run:| epoch   1 |    60/ 2323 batches | lr 20.00 | ms/batch 92.10 | loss  6.81 | ppl   902.45
INFO:run:| epoch   1 |    80/ 2323 batches | lr 20.00 | ms/batch 92.34 | loss  6.77 | ppl   873.99
INFO:run:| epoch   1 |   100/ 2323 batches | lr 20.00 | ms/batch 91.66 | loss  6.57 | ppl   712.76
INFO:run:| epoch   1 |   120/ 2323 batches | lr 20.00 | ms/batch 90.46 | loss  6.29 | ppl   538.34
INFO:run:| epoch   1 |   140/ 2323 batches | lr 20.00 | ms/batch 86.96 | loss  6.30 | ppl   544.24
INFO:run:| epoch   1 |   160/ 2323 batches | lr 20.00 | ms/batch 82.81 | loss  6.20 | ppl   494.97
INFO:run:| epoch   1 |   180/ 2323 batches | lr 20.00 | ms/batch 78.96 | loss  5.97 | ppl   391.24
INFO:run:| epoch   1 |   200/ 2323 batches | lr 20.00 | ms/batch 78.79 | loss  6.17 | ppl   479.08
INFO:run:| epoch   1 |   220/ 2323 batches | lr 20.00 | ms/batch 83.45 | loss  6.01 | ppl   406.03
INFO:run:| epoch   1 |   240/ 2323 batches | lr 20.00 | ms/batch 92.55 | loss  6.01 | ppl   408.84
INFO:run:| epoch   1 |   260/ 2323 batches | lr 20.00 | ms/batch 93.16 | loss  6.06 | ppl   427.69
INFO:run:| epoch   1 |   280/ 2323 batches | lr 20.00 | ms/batch 93.82 | loss  6.01 | ppl   407.40
INFO:run:| epoch   1 |   300/ 2323 batches | lr 20.00 | ms/batch 92.40 | loss  6.01 | ppl   408.15
INFO:run:| epoch   1 |   320/ 2323 batches | lr 20.00 | ms/batch 92.74 | loss  5.96 | ppl   387.78
INFO:run:| epoch   1 |   340/ 2323 batches | lr 20.00 | ms/batch 93.44 | loss  5.91 | ppl   368.32
INFO:run:| epoch   1 |   360/ 2323 batches | lr 20.00 | ms/batch 92.92 | loss  5.82 | ppl   338.32
INFO:run:| epoch   1 |   380/ 2323 batches | lr 20.00 | ms/batch 92.67 | loss  5.86 | ppl   352.08
INFO:run:| epoch   1 |   400/ 2323 batches | lr 20.00 | ms/batch 93.41 | loss  5.81 | ppl   332.42
INFO:run:| epoch   1 |   420/ 2323 batches | lr 20.00 | ms/batch 94.26 | loss  5.72 | ppl   303.39
INFO:run:| epoch   1 |   440/ 2323 batches | lr 20.00 | ms/batch 92.90 | loss  5.78 | ppl   323.35
INFO:run:| epoch   1 |   460/ 2323 batches | lr 20.00 | ms/batch 92.98 | loss  5.82 | ppl   337.85
INFO:run:| epoch   1 |   480/ 2323 batches | lr 20.00 | ms/batch 93.49 | loss  5.85 | ppl   345.78
INFO:run:| epoch   1 |   500/ 2323 batches | lr 20.00 | ms/batch 93.27 | loss  5.73 | ppl   309.00
INFO:run:| epoch   1 |   520/ 2323 batches | lr 20.00 | ms/batch 93.54 | loss  5.67 | ppl   290.38
INFO:run:| epoch   1 |   540/ 2323 batches | lr 20.00 | ms/batch 91.37 | loss  5.61 | ppl   272.95
INFO:run:| epoch   1 |   560/ 2323 batches | lr 20.00 | ms/batch 93.81 | loss  5.50 | ppl   245.16
INFO:run:| epoch   1 |   580/ 2323 batches | lr 20.00 | ms/batch 92.91 | loss  5.67 | ppl   289.98
INFO:run:| epoch   1 |   600/ 2323 batches | lr 20.00 | ms/batch 92.49 | loss  5.84 | ppl   342.85
INFO:run:| epoch   1 |   620/ 2323 batches | lr 20.00 | ms/batch 92.90 | loss  5.88 | ppl   359.56
INFO:run:| epoch   1 |   640/ 2323 batches | lr 20.00 | ms/batch 93.19 | loss  5.50 | ppl   245.01
INFO:run:| epoch   1 |   660/ 2323 batches | lr 20.00 | ms/batch 92.77 | loss  5.59 | ppl   267.61
INFO:run:| epoch   1 |   680/ 2323 batches | lr 20.00 | ms/batch 92.71 | loss  5.57 | ppl   263.17
INFO:run:| epoch   1 |   700/ 2323 batches | lr 20.00 | ms/batch 91.66 | loss  5.64 | ppl   282.71
INFO:run:| epoch   1 |   720/ 2323 batches | lr 20.00 | ms/batch 88.51 | loss  5.51 | ppl   246.33
INFO:run:| epoch   1 |   740/ 2323 batches | lr 20.00 | ms/batch 78.38 | loss  5.64 | ppl   282.75
INFO:run:| epoch   1 |   760/ 2323 batches | lr 20.00 | ms/batch 85.51 | loss  5.59 | ppl   268.09
INFO:run:| epoch   1 |   780/ 2323 batches | lr 20.00 | ms/batch 92.46 | loss  5.51 | ppl   247.35
INFO:run:| epoch   1 |   800/ 2323 batches | lr 20.00 | ms/batch 92.17 | loss  5.57 | ppl   261.88
INFO:run:| epoch   1 |   820/ 2323 batches | lr 20.00 | ms/batch 92.72 | loss  5.62 | ppl   275.00
INFO:run:| epoch   1 |   840/ 2323 batches | lr 20.00 | ms/batch 92.71 | loss  5.46 | ppl   236.06
