INFO:run:CONFIGURATION: {
  "logfile": "logs/20170329-100109-00.txt",
  "nlayers": 1,
  "results": "results/20170329-100109-00.txt",
  "model": "LSTM",
  "data": "./data/penn",
  "sequence_length": 20,
  "clip": 0.5,
  "nhid": 50,
  "log_interval": 20,
  "emsize": 50,
  "lr": 20,
  "experiment_id": "20170329-100109-00",
  "save": "models/20170329-100109-00.pt",
  "batch_size": 20,
  "seed": 1111,
  "epochs": 2
}
INFO:run:| epoch   1 |    20/ 2323 batches | lr 20.00 | ms/batch 293.10 | loss 212.91 | ppl 291398067904139872202678052926338279601490526549517988311060218898101948934599161432774803456.00
INFO:run:| epoch   1 |    40/ 2323 batches | lr 20.00 | ms/batch 271.12 | loss 212.87 | ppl 281187390740260553219154989899388418561148739603292487930951907582399736778487166772128514048.00
INFO:run:| epoch   1 |    60/ 2323 batches | lr 20.00 | ms/batch 267.85 | loss 213.32 | ppl 441345043946327114345948072535260646200122480555843828645160460619349717556630907380412973056.00
INFO:run:| epoch   1 |    80/ 2323 batches | lr 20.00 | ms/batch 264.93 | loss 212.80 | ppl 262466861894524581283145217092292676758104491416232792103672267821633691692546274071718920192.00
INFO:run:| epoch   1 |   100/ 2323 batches | lr 20.00 | ms/batch 271.39 | loss 213.63 | ppl 602011290940703075375391537518226503416662453111166795397725706828397918123177342406720749568.00
INFO:run:| epoch   1 |   120/ 2323 batches | lr 20.00 | ms/batch 259.98 | loss 213.05 | ppl 336841380436000087079136488724557658553980123693199136156849082735702303130226317024196296704.00
INFO:run:| epoch   1 |   140/ 2323 batches | lr 20.00 | ms/batch 267.06 | loss 215.11 | ppl 2632248186180390999343144339501592142878339180040648076263194663336229664788508315865086689280.00
INFO:run:| epoch   1 |   160/ 2323 batches | lr 20.00 | ms/batch 261.42 | loss 211.65 | ppl 82701854082938114258746096870110891495652575130621838878189536808806782593130787243376508928.00
INFO:run:| epoch   1 |   180/ 2323 batches | lr 20.00 | ms/batch 271.61 | loss 212.31 | ppl 160540730863215799151846503895695157080257906759716637381981105431169439093745338365134241792.00
INFO:run:| epoch   1 |   200/ 2323 batches | lr 20.00 | ms/batch 274.40 | loss 210.65 | ppl 30585176352589722813371392794930856216437647655173051207868961092473043554488814657205174272.00
INFO:run:| epoch   1 |   220/ 2323 batches | lr 20.00 | ms/batch 277.78 | loss 211.61 | ppl 79357093770718417156585348988282881547935785218449274801546875598238408060318456275464617984.00
INFO:run:| epoch   1 |   240/ 2323 batches | lr 20.00 | ms/batch 274.93 | loss 212.83 | ppl 270772010576317895742599983538120179124984520603591746699276267845905610138897285921313390592.00
INFO:run:| epoch   1 |   260/ 2323 batches | lr 20.00 | ms/batch 272.51 | loss 210.98 | ppl 42444655574906361690919456297330258465704662132767732794427828048517239238363486418991316992.00
INFO:run:| epoch   1 |   280/ 2323 batches | lr 20.00 | ms/batch 283.54 | loss 211.64 | ppl 81820207432138567860552609426721781165800560754452560763577040813092502830087400033666203648.00
INFO:run:| epoch   1 |   300/ 2323 batches | lr 20.00 | ms/batch 271.57 | loss 212.26 | ppl 153117992660679673191400782511429815219974174790173975878454557718948673668685385472933888000.00
INFO:run:| epoch   1 |   320/ 2323 batches | lr 20.00 | ms/batch 272.12 | loss 211.60 | ppl 78933929080507115535069433359971068564165275982649571959182744787317252494261115011777691648.00
INFO:run:| epoch   1 |   340/ 2323 batches | lr 20.00 | ms/batch 277.48 | loss 211.02 | ppl 44206632467883805813118312234505442405304893049998009115248575016374486841844695053488881664.00
INFO:run:| epoch   1 |   360/ 2323 batches | lr 20.00 | ms/batch 268.32 | loss 210.66 | ppl 30826564030373352203314308714797255198833216937288667874383864282624051492501803160922226688.00
INFO:run:| epoch   1 |   380/ 2323 batches | lr 20.00 | ms/batch 273.60 | loss 210.51 | ppl 26637165792669441663688926021591828744914185672928272046958425818139405055948614144559677440.00
INFO:run:| epoch   1 |   400/ 2323 batches | lr 20.00 | ms/batch 265.30 | loss 211.07 | ppl 46359833518726609706652515286584447030161204958392798249047628015853601610330671513996361728.00
INFO:run:| epoch   1 |   420/ 2323 batches | lr 20.00 | ms/batch 266.16 | loss 210.67 | ppl 31254730230339277023506880837265946022625907619306644727156193691517580434407292862031986688.00
INFO:run:| epoch   1 |   440/ 2323 batches | lr 20.00 | ms/batch 274.31 | loss 209.74 | ppl 12240424701116907962495547385894907699717189479221382000725788826689420089110799400275279872.00
INFO:run:| epoch   1 |   460/ 2323 batches | lr 20.00 | ms/batch 279.97 | loss 211.57 | ppl 76339333013181507466690025592696534069083228119631814667674759206448203065059136231211794432.00
INFO:run:| epoch   1 |   480/ 2323 batches | lr 20.00 | ms/batch 283.99 | loss 211.47 | ppl 69059509102480972887108133562849067253944277463916121518186216927035225900148272079669559296.00
INFO:run:| epoch   1 |   500/ 2323 batches | lr 20.00 | ms/batch 289.87 | loss 210.87 | ppl 38159704662520879722257156776820607565628959879277267577441404719917683977770619923976945664.00
INFO:run:| epoch   1 |   520/ 2323 batches | lr 20.00 | ms/batch 276.45 | loss 210.92 | ppl 40129908491447376668962741418330943883624308402431669719328247205742864089029904453972525056.00
INFO:run:| epoch   1 |   540/ 2323 batches | lr 20.00 | ms/batch 279.39 | loss 212.23 | ppl 148421540866426516055140291759586468655304657244033746206040715736455070526651195237486034944.00
INFO:run:| epoch   1 |   560/ 2323 batches | lr 20.00 | ms/batch 280.71 | loss 208.94 | ppl 5527573092544409924382139939344381197313244045610859339488338393147331558455311708649947136.00
INFO:run:| epoch   1 |   580/ 2323 batches | lr 20.00 | ms/batch 308.39 | loss 209.16 | ppl 6879847688139568021652455992440654413963500970346667265914795082805954502743760654018019328.00
INFO:run:| epoch   1 |   600/ 2323 batches | lr 20.00 | ms/batch 278.69 | loss 211.11 | ppl 48154842709078981022713762718867496458096188563047728884593661992884489252721275628232376320.00
INFO:run:| epoch   1 |   620/ 2323 batches | lr 20.00 | ms/batch 321.13 | loss 211.23 | ppl 54458784594494668879233902476706913427050775316720112664797674169442024966414567207920992256.00
INFO:run:| epoch   1 |   640/ 2323 batches | lr 20.00 | ms/batch 295.97 | loss 210.00 | ppl 15853827700590620947749432926790866510394051334505273534049873633430081504849973438066982912.00
INFO:run:| epoch   1 |   660/ 2323 batches | lr 20.00 | ms/batch 282.56 | loss 209.37 | ppl 8509801217875130320087350641977604925711971590727851714341613319193774695245990011651227648.00
INFO:run:| epoch   1 |   680/ 2323 batches | lr 20.00 | ms/batch 296.63 | loss 209.85 | ppl 13742470094232209848302004957517924839793141303262663816325678896420013295932854588013543424.00
INFO:run:| epoch   1 |   700/ 2323 batches | lr 20.00 | ms/batch 292.53 | loss 211.94 | ppl 110953821416224866387078113019693830831625179832083390716792442797602584167443674779816558592.00
INFO:run:| epoch   1 |   720/ 2323 batches | lr 20.00 | ms/batch 297.58 | loss 210.31 | ppl 21748053248731843968513313527598862241932817850483332309129786239761611092069734715991523328.00
INFO:run:| epoch   1 |   740/ 2323 batches | lr 20.00 | ms/batch 288.04 | loss 210.90 | ppl 38983653287384086781418960578244025123866989729765403827978466916144049239035803405406699520.00
INFO:run:| epoch   1 |   760/ 2323 batches | lr 20.00 | ms/batch 285.61 | loss 210.80 | ppl 35310056230181829164978526459825671591037448815382762913400332582023911587645587735726522368.00
INFO:run:| epoch   1 |   780/ 2323 batches | lr 20.00 | ms/batch 290.74 | loss 210.05 | ppl 16682954824162802984024726745261480399810432225008172748591939659060106275133187740305195008.00
INFO:run:| epoch   1 |   800/ 2323 batches | lr 20.00 | ms/batch 284.73 | loss 206.68 | ppl 576559954323099908239769492081192667378481623034305207911099072229454147998173622693789696.00
INFO:run:| epoch   1 |   820/ 2323 batches | lr 20.00 | ms/batch 286.50 | loss 209.61 | ppl 10744010821925916144624888748126191109762290358839374391513529350458284595096057731686072320.00
INFO:run:| epoch   1 |   840/ 2323 batches | lr 20.00 | ms/batch 290.28 | loss 207.27 | ppl 1042588814587447086290604236542395814574899833980385635227674491144893694076877271495344128.00
INFO:run:| epoch   1 |   860/ 2323 batches | lr 20.00 | ms/batch 291.34 | loss 208.15 | ppl 2496282357321133160236732576750823319702078860992457494020958983884344801884390854097895424.00
INFO:run:| epoch   1 |   880/ 2323 batches | lr 20.00 | ms/batch 295.81 | loss 208.44 | ppl 3331184540677487502033001727848474779870748837287081263978450804299956161764357789854990336.00
INFO:run:| epoch   1 |   900/ 2323 batches | lr 20.00 | ms/batch 301.50 | loss 210.14 | ppl 18394354170551550607286448424456835856394735392689368999203543340550753083609535252308951040.00
INFO:run:| epoch   1 |   920/ 2323 batches | lr 20.00 | ms/batch 298.82 | loss 208.46 | ppl 3408350156993828619465522265560935550277658993444398406925017976922700920976361064551677952.00
INFO:run:| epoch   1 |   940/ 2323 batches | lr 20.00 | ms/batch 274.17 | loss 209.51 | ppl 9711856803382082431738583236322436500095327576555333432998299885467669687553494890135420928.00
INFO:run:| epoch   1 |   960/ 2323 batches | lr 20.00 | ms/batch 281.31 | loss 208.99 | ppl 5782814250043848788043455621266923587002602116201955271810162387826540627194979140272914432.00
