INFO:run:CONFIGURATION: {
  "weight_decay": 0, 
  "nlayers": 6, 
  "clip": 0.5, 
  "emsize": 50, 
  "nhid": 50, 
  "batch_size": 20, 
  "results": "results/20170329-104938-02.txt", 
  "epochs": 20, 
  "logfile": "logs/20170329-104938-02.txt", 
  "seed": 1111, 
  "lr": 1, 
  "log_interval": 20, 
  "experiment_id": "20170329-104938-02", 
  "sequence_length": 20, 
  "model": "LSTM", 
  "save": "models/20170329-104938-02.pt", 
  "data": "./data/penn", 
  "momentum": 0
}
INFO:run:rng state: 
  87
   4
   0
 ⋮  
   0
   0
   0
[torch.ByteTensor of size 5048]

INFO:run:| epoch   1 |    20/ 2323 batches | lr 1.00 | ms/batch 133.42 | loss  9.54 | ppl 13937.93
INFO:run:| epoch   1 |    40/ 2323 batches | lr 1.00 | ms/batch 131.47 | loss  8.84 | ppl  6930.14
INFO:run:| epoch   1 |    60/ 2323 batches | lr 1.00 | ms/batch 126.33 | loss  8.58 | ppl  5304.87
INFO:run:| epoch   1 |    80/ 2323 batches | lr 1.00 | ms/batch 130.99 | loss  8.36 | ppl  4291.08
INFO:run:| epoch   1 |   100/ 2323 batches | lr 1.00 | ms/batch 135.12 | loss  8.17 | ppl  3531.67
INFO:run:| epoch   1 |   120/ 2323 batches | lr 1.00 | ms/batch 128.54 | loss  7.97 | ppl  2895.66
INFO:run:| epoch   1 |   140/ 2323 batches | lr 1.00 | ms/batch 129.21 | loss  7.92 | ppl  2747.19
INFO:run:| epoch   1 |   160/ 2323 batches | lr 1.00 | ms/batch 135.14 | loss  7.74 | ppl  2307.57
INFO:run:| epoch   1 |   180/ 2323 batches | lr 1.00 | ms/batch 127.56 | loss  7.65 | ppl  2098.85
INFO:run:| epoch   1 |   200/ 2323 batches | lr 1.00 | ms/batch 129.22 | loss  7.63 | ppl  2050.17
INFO:run:| epoch   1 |   220/ 2323 batches | lr 1.00 | ms/batch 135.17 | loss  7.58 | ppl  1964.18
INFO:run:| epoch   1 |   240/ 2323 batches | lr 1.00 | ms/batch 127.58 | loss  7.51 | ppl  1831.00
INFO:run:| epoch   1 |   260/ 2323 batches | lr 1.00 | ms/batch 126.62 | loss  7.44 | ppl  1705.37
INFO:run:| epoch   1 |   280/ 2323 batches | lr 1.00 | ms/batch 134.89 | loss  7.43 | ppl  1687.83
INFO:run:| epoch   1 |   300/ 2323 batches | lr 1.00 | ms/batch 129.22 | loss  7.44 | ppl  1702.41
INFO:run:| epoch   1 |   320/ 2323 batches | lr 1.00 | ms/batch 128.16 | loss  7.39 | ppl  1624.93
INFO:run:| epoch   1 |   340/ 2323 batches | lr 1.00 | ms/batch 135.61 | loss  7.33 | ppl  1529.04
INFO:run:| epoch   1 |   360/ 2323 batches | lr 1.00 | ms/batch 129.45 | loss  7.30 | ppl  1483.30
INFO:run:| epoch   1 |   380/ 2323 batches | lr 1.00 | ms/batch 128.42 | loss  7.35 | ppl  1548.59
INFO:run:| epoch   1 |   400/ 2323 batches | lr 1.00 | ms/batch 133.54 | loss  7.30 | ppl  1478.85
INFO:run:| epoch   1 |   420/ 2323 batches | lr 1.00 | ms/batch 129.54 | loss  7.30 | ppl  1479.94
INFO:run:| epoch   1 |   440/ 2323 batches | lr 1.00 | ms/batch 128.76 | loss  7.33 | ppl  1526.75
INFO:run:| epoch   1 |   460/ 2323 batches | lr 1.00 | ms/batch 131.14 | loss  7.32 | ppl  1512.39
INFO:run:| epoch   1 |   480/ 2323 batches | lr 1.00 | ms/batch 132.59 | loss  7.31 | ppl  1489.25
INFO:run:| epoch   1 |   500/ 2323 batches | lr 1.00 | ms/batch 128.36 | loss  7.27 | ppl  1431.91
INFO:run:| epoch   1 |   520/ 2323 batches | lr 1.00 | ms/batch 131.23 | loss  7.19 | ppl  1319.55
INFO:run:| epoch   1 |   540/ 2323 batches | lr 1.00 | ms/batch 133.36 | loss  7.16 | ppl  1288.23
INFO:run:| epoch   1 |   560/ 2323 batches | lr 1.00 | ms/batch 127.32 | loss  7.07 | ppl  1179.34
INFO:run:| epoch   1 |   580/ 2323 batches | lr 1.00 | ms/batch 135.62 | loss  7.14 | ppl  1255.36
INFO:run:| epoch   1 |   600/ 2323 batches | lr 1.00 | ms/batch 134.04 | loss  7.17 | ppl  1303.82
INFO:run:| epoch   1 |   620/ 2323 batches | lr 1.00 | ms/batch 127.69 | loss  7.25 | ppl  1409.11
